;Pais;Fecha;Casos_media_7_dias;Muertes_media_7_dias;Porcentaje_vacunacion;Poblacion
9346;Hungary;2021-07-23;53.714285714285715;0.7142857142857143;55.29619493631102;9634162.0
9347;Hungary;2021-07-24;53.714285714285715;0.7142857142857143;55.29619493631102;9634162.0
9348;Hungary;2021-07-25;53.714285714285715;0.7142857142857143;55.29619493631102;9634162.0
9349;Hungary;2021-07-26;56.857142857142854;0.42857142857142855;55.95289969174277;9634162.0
9350;Hungary;2021-07-27;57.0;0.2857142857142857;56.11054703045267;9634162.0
9351;Hungary;2021-07-28;59.57142857142857;0.8571428571428571;56.23943213742929;9634162.0
9352;Hungary;2021-07-29;58.714285714285715;0.7142857142857143;56.35134638591296;9634162.0
9353;Hungary;2021-07-30;55.714285714285715;0.8571428571428571;56.35134638591296;9634162.0
9354;Hungary;2021-07-31;55.714285714285715;0.8571428571428571;56.35134638591296;9634162.0
9355;Hungary;2021-08-01;55.714285714285715;0.8571428571428571;56.50464461776748;9634162.0
9356;Hungary;2021-08-02;54.857142857142854;1.0;56.602504711878424;9634162.0
9357;Hungary;2021-08-03;54.857142857142854;1.1428571428571428;56.70432986283602;9634162.0
9358;Hungary;2021-08-04;52.714285714285715;1.0;56.83391041172029;9634162.0
9359;Hungary;2021-08-05;53.714285714285715;1.0;56.88318298986461;9634162.0
9360;Hungary;2021-08-06;52.0;1.0;56.88318298986461;9634162.0
9361;Hungary;2021-08-07;52.0;1.0;56.88318298986461;9634162.0
9362;Hungary;2021-08-08;52.0;1.0;56.99911419384478;9634162.0
9363;Hungary;2021-08-09;52.142857142857146;1.4285714285714286;57.027378198539736;9634162.0
9364;Hungary;2021-08-10;53.42857142857143;1.1428571428571428;57.06359307638797;9634162.0
9365;Hungary;2021-08-11;56.42857142857143;0.7142857142857143;57.06713256430606;9634162.0
9366;Hungary;2021-08-12;58.42857142857143;0.7142857142857143;57.07005964815621;9634162.0
9367;Hungary;2021-08-13;65.85714285714286;0.7142857142857143;57.07005964815621;9634162.0
9368;Hungary;2021-08-14;65.85714285714286;0.7142857142857143;57.07005964815621;9634162.0
9369;Hungary;2021-08-15;65.85714285714286;0.7142857142857143;57.09051809591742;9634162.0
9370;Hungary;2021-08-16;70.42857142857143;0.5714285714285714;57.092344928391284;9634162.0
9371;Hungary;2021-08-17;71.85714285714286;0.7142857142857143;57.10096010426231;9634162.0
9372;Hungary;2021-08-18;76.0;1.1428571428571428;57.11016692474136;9634162.0
